path,title,description,titleLen,descLen,isGeneric
/,"HQ Aviation — UK Robinson Helicopter Dealer, Training & Expeditions","UK's premier Robinson Helicopter dealer. Flight training, sales, maintenance and worldwide expeditions from Denham — 30 min from London.",67,136,FALSE
/about-us,About HQ Aviation — UK Robinson Dealer at Denham,"HQ Aviation — UK's premier Robinson Helicopter dealer at Denham Aerodrome. Sales, training, maintenance, expeditions.",48,117,FALSE
/about-us/captain-q,Captain Quentin Q Smith · Founder & Pilot,"Founder Quentin 'Q' Smith — 55+ years' helicopter flying, twice Aerobatic World Champion, and the first pilot to fly to both poles.",41,131,FALSE
/about-us/team,Meet the Team · Instructors & Engineers,"Meet the HQ Aviation team — experienced helicopter flight instructors, CAA Part-145 engineers, and operations staff at Denham Aerodrome.",39,136,FALSE
/contact,Contact · Denham Aerodrome UB9 5DF,"Visit HQ Aviation at Denham Aerodrome (UB9 5DF), 30 min from central London via M40 J1. Ops +44 1895 833373. Maintenance +44 1895 832833. Open seven days a week.",34,161,FALSE
/sales/new,New Robinson Helicopters for Sale · UK,"Order a new Robinson R22, R44 Raven II, R44 Cadet or R66 Turbine from HQ Aviation at Denham — a Robinson authorised dealer with in-house CAA Part-145 maintenance.",38,162,FALSE
/sales/pre-owned,Used Robinson Helicopters for Sale · UK,"Used Robinson R22, R44 and R66 helicopters for sale — inspected, maintained and certified by HQ Aviation's CAA Part-145 service centre at Denham.",39,145,FALSE
/sales/rebuilds,Robinson Rebuilds · 12-Year Overhauls UK,"Full Robinson R22 and R44 12-year rebuilds at HQ Aviation, Denham. CAA Part-145 approved overhauls returning helicopters to as-new condition.",40,141,FALSE
/aircraft/r22,Robinson R22 — New & Pre-Owned Helicopter Sales | UK,New Robinson R22 sales from authorised UK dealer at Denham. The classic two-seat training helicopter — popular for PPL training and time-building.,52,146,FALSE
/aircraft/r44,Robinson R44 — New & Pre-Owned Helicopter Sales | UK,"New Robinson R44 Raven I, II and Cadet from authorised UK dealer at Denham. The world's best-selling four-seat helicopter — comfort, range, and proven reliability.",52,163,FALSE
